Pair.Name,Ligand,Receptor,Dataset,Annotation,Location  Ligand,GO,References,Julia TRUE/FALSE/NA,Julia literature reference,Julia comment,checked,,,,,,,,,,,,,
Angpt1-Tie1,Angpt1,Tie1,Ramilowski,Correct,Secreted,Other,11172728,FALSE,PMID: 24003209,Tie1 is an orphan receptor,,,,,,,,,9.12,,,,,
Angpt2-Tek,Angpt2,Tek,Ramilowski,Correct,Secreted,Other,"9204896, 9723709",TRUE,PMID: 24003209,Look at figure 1,,,,,,,,,9.12,,,,,
Angpt2-Tie1,Angpt2,Tie1,Baccin,Correct,Secreted,Other,27548530,FALSE,PMID: 24003209,Tie1 is an orphan receptor,,,,,,,,,9.12,,,,,
Angpt4-Tek,Angpt4,Tek,Ramilowski,Correct,Secreted,Other,10051567,TRUE,PMID: 24003209,Look at figure 1,,,,,,,,,9.12,,,,,
Apln-Aplnr,Apln,Aplnr,Ramilowski,Correct,Secreted,Other,"10617103, 9792798,12603839, 15341513, 10777510, 12939143, 11336787,12603839",TRUE,PMID: 10617103,Aplnr=APJ receptor,,,,,,,,,9.12,,,,,
Apod-Lepr,Apod,Lepr,Ramilowski,Correct,Secreted,Other,11344130,TRUE,binds to the long term isoform of Lepr ,,,,,,,,,,9.12,,,,,
Apoe-Ldlr,Apoe,Ldlr,Ramilowski,Correct,Secreted,Other,"11327878, 12036960",TRUE,PMID: 22393530,LDLR and LRP1 are important receptors for apoE,,,,,,,,,9.12,,,,,
Apoe-Lrp1,Apoe,Lrp1,Ramilowski,Correct,Secreted,Other,11421580,TRUE,PMID: 22393530,LDLR and LRP1 are important receptors for apoE,,,,,,,,,9.12,,,,,
Apoe-Lrp5,Apoe,Lrp5,Ramilowski,Correct,Secreted,Other,9832610,TRUE,PMID: 9832610,,,,,,,,,,9.12,,,,,
Apoe-Lrp8,Apoe,Lrp8,Ramilowski,Correct,Secreted,Other,"12950167,12167620, 12950167",TRUE,PMID: 12950167,Lrp8=ApoE receptor 2,,,,,,,,,9.12,,,,,
Apoe-Scarb1,Apoe,Scarb1,Ramilowski,Correct,Secreted,Other,12138091,TRUE,PMID: 12138091,Scarb1=SR-BI,,,,,,,,,9.12,,,,,
Apoe-Sorl1,Apoe,Sorl1,Ramilowski,Correct,Secreted,Other,11294867,TRUE,,Sorl1=SorAL-1,,,,,,,,,9.12,,,,,
Apoe-Vldlr,Apoe,Vldlr,Ramilowski,Correct,Secreted,Other,"12870663, 12167620",TRUE,PMID: 28292942,,,,,,,,,,9.12,,,,,
App&Bace1&Psen-Fpr2,App&Bace1&Psen-Fpr3,App&Bace1&Psen-Fpr4,App&Bace1&Psen-Fpr5,App&Bace1&Psen-Fpr6,,Other,12270697,TRUE,,"App=A beta 42, Bace1 = App cleaving enzyme, Psen= Persenillin, regulates APP processing",,,,,,,,,9.12,,,,,
App&Bace1-Tnfrsf21,App&Bace1,Tnfrsf21,Baccin,Correct,Secreted,Other,19225519,TRUE,,Tnfrsf21=DR6,,,,,,,,,9.12,,,,,
Bgn-Tlr2,Bgn,Tlr2,Ramilowski,Correct,ECM,Other,24480070,TRUE,,Biglycan,,,,,,,,,9.12,,,,,
Bgn-Tlr4,Bgn,Tlr4,Ramilowski,Correct,ECM,Other,24480070,TRUE,,Biglycan,,,,,,,,,9.12,,,,,
Bmp2-Acvr1,Bmp2,Acvr1,Ramilowski,Correct,Secreted,Cytokine,8006002,TRUE,PMID: 18436533,Look in the abstracts,,,,,,,,,9.12,,,,,
Bmp2-Acvr2a,Bmp2,Acvr2a,Ramilowski,Correct,Secreted,Cytokine,20959140,TRUE,PMID: 18436533,,,,,,,,,,9.12,,,,,
Bmp2-Acvr2b,Bmp2,Acvr2b,Ramilowski,Correct,Secreted,Cytokine,15064755,FALSE,18436533, Acvr2b does not play a significant role in the in signaling,,,,,,,,,9.12,,,,,
Bmp2-Bmpr1a,Bmp2,Bmpr1a,Ramilowski,Correct,Secreted,Cytokine,"12700180,11263668, 10881198, 10692589, 15064755",TRUE,PMID: 11854453,"Bmpr1a=ALK3, look at figure 6 ",,,,,,,,,9.12,,,,,
Bmp2-Bmpr2,Bmp2,Bmpr2,Ramilowski,Correct,Secreted,Cytokine,"11263668, 10880440",TRUE,PMID: 28391780,Look at figure nr. 1,,,,,,,,,9.12,,,,,
Bmp2-Eng,Bmp2,Eng,Ramilowski,Correct,Secreted,Cytokine,9872992,FALSE,PMID: 9872992,"Eng=Endoglin, cannot bind ligands on its own, only by associating to ther receptors",,,,,,,,,9.12,,,,,
Bmp3-Acvr2a,Bmp3,Acvr2a,Baccin,Correct,Secreted,Cytokine,20959140,WAHR,PMID: 17924656,BMP3 binds Acvr2a only with low affinity,,,,,,,,,9.12,,,,,
Bmp4-Acvr1,Bmp4,Acvr1,Baccin,Correct,Secreted,Cytokine,20959140,TRUE,PMID: 26776312,Acvr1=ALK2,,,,,,,,,9.12,,,,,
Bmp4-Acvr2a,Bmp4,Acvr2a,Baccin,Correct,Secreted,Cytokine,20959140,TRUE,PMID: 18436533,,,,,,,,,,9.12,,,,,
Bmp4-Bmpr1a,Bmp4,Bmpr1a,Ramilowski,Correct,Secreted,Cytokine,"8006002,11241215, 8702914, 7644468",TRUE,PMID: 11854453,"Bmpr1a=ALK3, look at figure6",,,,,,,,,9.12,,,,,
Bmp4-Bmpr2,Bmp4,Bmpr2,Ramilowski,Correct,Secreted,Cytokine,"7673243,7644468, 8702914",TRUE,PMID: 28391780,Look at figure nr. 1,,,,,,,,,9.12,,,,,
Bmp5-Bmpr1a,Bmp5,Bmpr1a,Ramilowski,Correct,Secreted,Cytokine,11580864,TRUE,PMID: 11854453,"Bmpr1a=ALK3, look at figure6",,,,,,,,,9.12,,,,,
Bmp7-Acvr1,Bmp7,Acvr1,Ramilowski,Correct,Secreted,Cytokine,122.976.748.006.002,TRUE,PMID: 26776312,Acvr1=ALK2,,,,,,,,,9.12,,,,,
Bmp7-Acvr2a,Bmp7,Acvr2a,Ramilowski,Correct,Secreted,Cytokine,"7790373,9748228, 12667445",TRUE,PMID: 18436533,,,,,,,,,,9.12,,,,,
Bmp7-Acvr2b,Bmp7,Acvr2b,Ramilowski,Correct,Secreted,Cytokine,9748228,TRUE,,,,,,,,,,,9.12,,,,,
Bmp7-Bmpr1a,Bmp7,Bmpr1a,Ramilowski,Correct,Secreted,Cytokine,"12297674,7791754, 8605097",TRUE,PMID: 11854453,"Bmpr1a=ALK§, look at figure 6",,,,,,,,,9.12,,,,,
Bmp7-Bmpr2,Bmp7,Bmpr2,Ramilowski,Correct,Secreted,Cytokine,7791754,TRUE,,,,,,,,,,,9.12,,,,,
Bmp7-Eng,Bmp7,Eng,Ramilowski,Correct,Secreted,Cytokine,9872992,FALSE,PMID: 9872992,"Eng=Endoglin, cannot bind liagnds on its own, only by associating to the receptors",,,,,,,,,9.12,,,,,
Btla-Tnfrsf14,Btla,Tnfrsf14,Ramilowski,Correct,Membrane,Other,",15568026",TRUE,,Tnfrsf14=HVEM,,,,,,,,,10.12,,,,,
Cadm1-Cadm1,Cadm1,Cadm1,Baccin,Correct,Membrane,Other,17823505,TRUE,,"Each member of Necls, except for Necl-5, forms homophilic trans-dimers",,,,,,Cadm1=Necl2,,,10.12,,,,,
Cadm1-Cadm3,Cadm1,Cadm3,Baccin,Correct,Membrane,Other,17823505,TRUE,,"Look at figure 1, Cadm1=Necl2, Cadm3=Necl1",,,,,,,,,10.12,,,,,
Cadm1-Crtam,Cadm1,Crtam,Baccin,Correct,Membrane,Other,17823505,TRUE,PMID: 24339981,"Cadm1=Lectin-like 2, interaction in a chicken",,,,,,,,,10.12,,,,,
Cadm1-Nectin3,Cadm1,Nectin3,Baccin,Correct,Membrane,Other,17823505,TRUE,,"Look at figure 1, Cadm1=Necl2",,,,,,,,,10.12,,,,,
Cadm3-Cadm1,Cadm3,Cadm1,Baccin,Correct,Membrane,Other,17823505,TRUE,,"Look at figure1, Cadm1=Necl2, Cadm3=Necl1",,,,,,,,,10.12,,,,,
Cadm3-Cadm3,Cadm3,Cadm3,Baccin,Correct,Membrane,Other,17823505,TRUE,,"Each member of Necls, except for Necl-5, forms homophilic trans-dimers",,,,,,Cadm3=Necl1,,,10.12,,,,,
Cadm3-Nectin3,Cadm3,Nectin3,Baccin,Correct,Membrane,Other,17823505,TRUE,,Cadm3=Necl1,,,,,,,,,10.12,,,,,
Ccl11-Ccr2,Ccl11,Ccr2,Ramilowski,Correct,Secreted,Chemokine,"9195948,12554737, 15207250,9276730, 12554737,12554737,11264152,12149192, 9195948,9115216, 12149192",TRUE,PMID: 11559700,,,,,,Ccl11 is a partial agonist of ccr2,,,,10.12,,,,,
Ccl11-Ccr5,Ccl11,Ccr5,Ramilowski,Correct,Secreted,Chemokine,"12964882,10477718,9790730,9790730,11264152, 10477718,10477718,9468473, 10477718",TRUE,PMID: 27119233,,,,,,Look at the discussion,,,,10.12,,,,,
Ccl19-Ccr7,Ccl19,Ccr7,Ramilowski,Correct,Secreted,Chemokine,"11342595,9153236, 9507024,9153236",TRUE,PMID: 15730561,Look at figure1 ,,,,,,,,,10.12,,,,,
Ccl19-Ccrl2,Ccl19,Ccrl2,Ramilowski,Correct,Secreted,Chemokine,20002784,TRUE,,Ccrl2=CRAM-B,,,,,,,,,10.12,,,,,
Ccl19-Cxcr3,Ccl19,Cxcr3,Ramilowski,Correct,Secreted,Chemokine,9660793,NA/FALSE,PMID: 18497951,Look at the introduction,,,,,,,,,10.12,,,,,
Ccl2-Ccr2,Ccl2,Ccr2,Baccin,Correct,Secreted,Chemokine,24890717,TRUE,PMID: 15730561,Look at figure1 ,,,,,,,,,10.12,,,,,
Ccl21a-Ccr7,Ccl21a,Ccr7,Ramilowski,Correct,Secreted,Chemokine,"11970971,9507024,9507024, 9585422",TRUE,PMID: 15730561,Look at figure1 ,,,,,,,,,10.12,,,,,
Ccl21a-Cxcr3,Ccl21a,Cxcr3,Ramilowski,Correct,Secreted,Chemokine,26888559,TRUE,PMID: 18497951,Look at the introduction,,,,,,,,,10.12,,,,,
Ccl25-Ccr9,Ccl25,Ccr9,Ramilowski,Correct,Secreted,Chemokine,"11159507,,10229797, 10498628",TRUE,PMID: 11159507,,,,,,,,,,10.12,,,,,
Ccl3-Ccr1,Ccl3,Ccr1,Ramilowski,Correct,Secreted,Chemokine,"9115216,12381680, 11170631, 9624164, 8530354,10660125, 10202040, 7545673",TRUE,PMID: 15730561,Look at figure1,,,,,,,,,10.12,,,,,
Ccl3-Ccr5,Ccl3,Ccr5,Ramilowski,Correct,Secreted,Chemokine,"12964882,11170631, 16298345, 9790730,11734558, 10364178,11700073, 10477718",TRUE,PMID: 15730561,Look at figure1,,,,,,,,,10.12,,,,,
Ccl4-Ccr1,Ccl4,Ccr1,Ramilowski,Correct,Secreted,Chemokine,"12381680, 8530354,7594543",TRUE,PMID: 12381680,CCl4=MIP-1-beta,,,,,,,,,10.12,,,,,
Ccl4-Ccr5,Ccl4,Ccr5,Ramilowski,Correct,Secreted,Chemokine,"12964882,16298345, 9790730,12427015, 8663314",TRUE,PMID: 15730561,Look at figure 1,,,,,,,,,10.12,,,,,
Ccl5-Ccr1,Ccl5,Ccr1,Ramilowski,Correct,Secreted,Chemokine,"9624164, 8530354,9289016, 11116158, 14637022, 12270118, 7545673",TRUE,PMID: 15730561,Look at figure 1,,,,,,,,,10.12,,,,,
Ccl5-Ccr5,Ccl5,Ccr5,Ramilowski,Correct,Secreted,Chemokine,"12964882,10318947, 16298345, 9790730,9289016, 8663314, 11116158, 14637022, 10477718",TRUE,PMID: 15730561,Look at figure 1,,,,,,,,,10.12,,,,,
Ccl6-Ccr1,Ccl6,Ccr1,Baccin,Correct,Secreted,Chemokine,"9346309,9886417,9346309,12381680,9346309,9558365, 10660125, 9886417",NA/TRUE,PMID: 14734772,Ccr1is a putative receptor of ccl6,,,,,,,,,10.12,,,,,
Ccl6-Ccr2,Ccl6,Ccr2,Baccin,Correct,Secreted,Chemokine,17364026,NA,,"Really hard to find anything, there is no genecard entry for ccl6",,,,,,,,,10.12,,,,,
Ccl7-Ccr1,Ccl7,Ccr1,Ramilowski,Correct,Secreted,Chemokine,"9115216,12381680, 11994538,8530354, 7545673",TRUE,PMID: 15730561,Look at figure 1,,,,,,,,,10.12,,,,,
Ccl7-Ccr2,Ccl7,Ccr2,Ramilowski,Correct,Secreted,Chemokine,"8530354,9276730, 9346309, 12554737,8530354",TRUE,PMID: 15730561,Look at figure 1,,,,,,,,,10.12,,,,,
Ccl7-Ccr5,Ccl7,Ccr5,Ramilowski,Correct,Secreted,Chemokine,"16298345, 10477710",TRUE,PMID: 27791451,Look at the chapter: CCR5 biology and chemokine receptor-based HIV tropism,,,,,,,,,10.12,,,,,
Ccl8-Ccr1,Ccl8,Ccr1,Baccin,Correct,Secreted,Chemokine,28362325,TRUE,PMID: 9115216,,,,,,,,,,10.12,,,,,
Ccl8-Ccr2,Ccl8,Ccr2,Baccin,Correct,Secreted,Chemokine,28362325,TRUE,PMID: 9115216,,,,,,,,,,10.12,,,,,
Ccl8-Ccr5,Ccl8,Ccr5,Baccin,Correct,Secreted,Chemokine,29037608,TRUE,,,,,,,,,,,10.12,,,,,
Ccl9-Ccr1,Ccl9,Ccr1,Baccin,Correct,Secreted,Chemokine,16304045,TRUE,,,,,,,,,,,10.12,,,,,
Cd14-Itga4&Itgb1,Cd14,Itga4&Itgb1,Baccin,Correct,Membrane,Other,17274987,TRUE,,Itga4&Itgb1=Integrin alpha4beta1,,,,,,,,,,,,,,
Cd2-Cd48,Cd2,Cd48,Baccin,Correct,Membrane,Other,26794910,TRUE,,,,,,,,,,,,,,,,
Cd22-Ptprc,Cd22,Ptprc,Baccin,Correct,Membrane,Other,mmu04514,TRUE,,,,,,,,,,,,,,,,
Cd226-Itgal&Itgb2,Cd226,Itgal&Itgb2,Baccin,Correct,Membrane,Other,mmu04514,TRUE,,,,,,,,,,,,,,,,
Cd226-Nectin2,Cd226,Nectin2,Baccin,Correct,Membrane,Other,mmu04514,TRUE,,Nectin2=PVRL2,,,,,,,,,,,,,,
Cd226-Pvr,Cd226,Pvr,Baccin,Correct,Membrane,Other,mmu04514,TRUE,,,,,,,,,,,,,,,,
Cd244-Cd48,Cd244,Cd48,Baccin,Correct,Membrane,Other,21576698,TRUE,,,,,,,,,,,,,,,,
Cd274-Cd80,Cd274,Cd80,Baccin,Correct,Membrane,Other,24819296,TRUE,PMID: 29181416,Cd274=PD-L1,,,,,,,,,,,,,,
Cd28-Cd86,Cd28,Cd86,Baccin,Correct,Membrane,Other,mmu04514,TRUE,,,,,,,,,,,,,,,,
Cd34-Sell,Cd34,Sell,Ramilowski,Correct,Membrane,Other,12889478,TRUE,,Sell=Selectin L,,,,,,,,,,,,,,
Cd34-Selp,Cd34,Selp,Baccin,Correct,Membrane,Other,29296932,TRUE,PMID: 29296932,"Look at the full paper, look at the keypoints",,,,Selp=Selectin P,,,,,,,,,,
Cd38-Pecam1,Cd38,Pecam1,Baccin,Correct,Membrane,Other,23308177,TRUE,PMID: 12681475,"Look at the full paper, look at ""Ligand interactions of PECAM-1""",,,,,,,,,,,,,,
Cd40lg-Itga2b&Itgb3,Cd40lg,Itga2b&Itgb3,Baccin,Correct,Secreted,Other,22461623,TRUE,,"αIIbβ3=Itga2b&Itgb3, Cd40lg=CD154",,,,,,,,,,,,,,
Cd40lg-Itgam&Itgb2,Cd40lg,Itgam&Itgb2,Baccin,Correct,Secreted,Other,22461623,TRUE,,"αMβ2=Itgam&Itgb, CD40lg=CD154",,,,,,,,,,,,,,
Cd40lg-Itga5&Itgb1,Cd40lg,Itga5&Itgb1,Baccin,Correct,Secreted,Cytokine,28676852,TRUE,PMID: 22461623,"α5β1=Itga5&Itgb1, CD40lg=CD154",,,,,,,,,,,,,,
Cd47-Sirpa,Cd47,Sirpa,Baccin,Correct,Membrane,Other,29777034,TRUE,,,,,,,,,,,,,,,,
Cd48-Cd2,Cd48,Cd2,Baccin,Correct,Membrane,Other,26794910,TRUE,,,,,,,,,,,,,,,,
Cd48-Cd244,Cd48,Cd244,Baccin,Correct,Membrane,Other,26794910,TRUE,,,,,,,,,,,,,,,,
Cd55-Adgre5,Cd55,Adgre5,Baccin,Correct,Membrane,Other,23447688,TRUE,,Adgre5=CD97,,,,,,,,,,,,,,
Cd6-Alcam,Cd6,Alcam,Baccin,Correct,Membrane,Other,24496453,TRUE,21576698,,,,,,,,,,,,,,,
Cd72-Sema4d,Cd72,Sema4d,Ramilowski,Correct,Membrane,Other,11114375,TRUE,,"Look at the full paper, at the discussion; Sema4d=CD100",,,,,,,,,,,,,,
Cd80-Cd274,Cd80,Cd274,Baccin,Correct,Membrane,Other,24819296,TRUE,,,,,,,,,,,,,,,,
Cd81-Gpc3,Cd81,Gpc3,Ramilowski,Correct,Membrane,Other,23665349,FALSE,,"Gpc3=Glypican3, look at figure1-> it is a cis-interaction",,,,,,,,,,,,,,
Cd86-Cd28,Cd86,Cd28,Baccin,Correct,Membrane,Other,mmu04514,TRUE,,,,,,,,,,,,,,,,
Cd9-L1cam,Cd9,L1cam,Baccin,Correct,Membrane,Other,8838570,,,,,,,,,,,,,,,,,
Cd96-Pvr,Cd96,Pvr,Baccin,Correct,Membrane,Other,29721390,,,,,,,,,,,,,,,,,
Cd99-Cd99,Cd99,Cd99,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Cdh11-Cdh11,Cdh11,Cdh11,Baccin,Correct,Membrane,Other,19513270,,,,,,,,,,,,,,,,,
Cdh13-Cdh13,Cdh13,Cdh13,Baccin,Correct,Membrane,Other,20190755,,,,,,,,,,,,,,,,,
Cdh15-Cdh15,Cdh15,Cdh15,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Cdh2-Cdh2,Cdh2,Cdh2,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Cdh5-Cdh5,Cdh5,Cdh5,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Ceacam1-Ceacam1,Ceacam1,Ceacam1,Baccin,Correct,Membrane,Other,9003371,,,,,,,,,,,,,,,,,
Clcf1-Il6st,Clcf1,Il6st,Ramilowski,Correct,Secreted,Cytokine,10966616,,,,,,,,,,,,,,,,,
Cldn11-Cldn11,Cldn11,Cldn11,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Cntn1-Nfasc,Cntn1,Nfasc,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Col11a1-Ddr1,Col11a1,Ddr1,Ramilowski,Correct,ECM,Other,9659900,,,,,,,,,,,,,,,,,
Col14a1-Cd44,Col14a1,Cd44,Ramilowski,Correct,ECM,Other,8986622,,,,,,,,,,,,,,,,,
Col18a1-Gpc1,Col18a1,Gpc1,Ramilowski,Correct,ECM,Other,"11336704, 11336700",,,,,,,,,,,,,,,,,
Col18a1-Gpc4,Col18a1,Gpc4,Ramilowski,Correct,ECM,Other,11336704,,,,,,,,,,,,,,,,,
Col18a1-Kdr,Col18a1,Kdr,Ramilowski,Correct,ECM,Other,12029087,,,,,,,,,,,,,,,,,
Col18a1-Ptprs,Col18a1,Ptprs,Baccin,Correct,ECM,Other,11865065,,,,,,,,,,,,,,,,,
Col1a1-Cd36,Col1a1,Cd36,Ramilowski,Correct,ECM,Other,2468670,,,,,,,,,,,,,,,,,
Col1a1-Cd44,Col1a1,Cd44,Ramilowski,Correct,ECM,Other,1730778,,,,,,,,,,,,,,,,,
Col1a1-Cd93,Col1a1,Cd93,Ramilowski,Correct,ECM,Other,1377218,,,,,,,,,,,,,,,,,
Col1a1-Ddr1,Col1a1,Ddr1,Ramilowski,Correct,ECM,Other,9659900,,,,,,,,,,,,,,,,,
Col1a1-Ddr2,Col1a1,Ddr2,Ramilowski,Correct,ECM,Other,"12611880, 9659899",,,,,,,,,,,,,,,,,
Col1a1-Itga10&Itgb2,Col1a1,Itga10&Itgb2,Baccin,Correct,ECM,Other,26857815,,,,,,,,,,,,,,,,,
Col1a1|Col2a1|Col3a1|Col5a1|Col11a1-Itga11&Itgb1,Col1a1|Col2a1|Col3a1|Col5a1|Col11a1,Itga11&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Col1a1|Col2a1|Col3a1|Col5a1|Col11a1-Itga2&Itgb1,Col1a1|Col2a1|Col3a1|Col5a1|Col11a1,Itga2&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Col1a2-Cd36,Col1a2,Cd36,Ramilowski,Correct,ECM,Other,10772928,,,,,,,,,,,,,,,,,
Col1a2-Cd44,Col1a2,Cd44,Ramilowski,Correct,ECM,Other,1730778,,,,,,,,,,,,,,,,,
Col1a2-Cd93,Col1a2,Cd93,Ramilowski,Correct,ECM,Other,1377218,,,,,,,,,,,,,,,,,
Col2a1-Ddr1,Col2a1,Ddr1,Ramilowski,Correct,ECM,Other,9659900,,,,,,,,,,,,,,,,,
Col2a1-Mag,Col2a1,Mag,Ramilowski,Correct,ECM,Other,2446864,,,,,,,,,,,,,,,,,
Col3a1-Ddr1,Col3a1,Ddr1,Ramilowski,Correct,ECM,Other,9659900,,,,,,,,,,,,,,,,,
Col3a1-Ddr2,Col3a1,Ddr2,Ramilowski,Correct,ECM,Other,9659899,,,,,,,,,,,,,,,,,
Col3a1-Mag,Col3a1,Mag,Ramilowski,Correct,ECM,Other,2446864,,,,,,,,,,,,,,,,,
Col4a1-Cd93,Col4a1,Cd93,Ramilowski,Correct,ECM,Other,1377218,,,,,,,,,,,,,,,,,
Col4a1|Col6a1|Col13a1-Itga1&Itgb1,Col4a1|Col6a1|Col13a1,Itga1&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Col4a1|Col6a1|Col2a1-Itga10&Itgb1,Col4a1|Col6a1|Col2a1,Itga10&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Col4a2-Cd93,Col4a2,Cd93,Ramilowski,Correct,ECM,Other,1377218,,,,,,,,,,,,,,,,,
Col5a1-Sdc3,Col5a1,Sdc3,Ramilowski,Correct,ECM,Other,11751872,,,,,,,,,,,,,,,,,
Col5a2-Ddr1,Col5a2,Ddr1,Ramilowski,Correct,ECM,Other,9659900,,,,,,,,,,,,,,,,,
Col5a3-Sdc3,Col5a3,Sdc3,Ramilowski,Correct,ECM,Other,11751872,,,,,,,,,,,,,,,,,
Col9a1-Mag,Col9a1,Mag,Ramilowski,Correct,Secreted,Other,2446864,,,,,,,,,,,,,,,,,
Col9a2-Mag,Col9a2,Mag,Ramilowski,Correct,Secreted,Other,2446864,,,,,,,,,,,,,,,,,
Col9a3-Mag,Col9a3,Mag,Ramilowski,Correct,ECM,Other,2446864,,,,,,,,,,,,,,,,,
Crlf1&Clcf1-Cntfr,Crlf1&Clcf1,Cntfr,Baccin,Correct,Secreted,Other,16782820,,,,,,,,,,,,,,,,,
Crtam-Cadm1,Crtam,Cadm1,Baccin,Correct,Membrane,Other,16091383,TRUE,PMID: 24339981,Cadm1=Lektin-like 2,,,,,,,,,,,,,,
Csf1-Csf1r,Csf1,Csf1r,Ramilowski,Correct,Secreted,Cytokine,"7883784,,2408759, 8355686",,4339981,,,,,,,,,,,,,,,
Ctgf-Fgfr2,Ctgf,Fgfr2,Baccin,Correct,Secreted,GrowthFactor,23142580,,,,,,,,,,,,,,,,,
Ctgf-Igf2r,Ctgf,Igf2r,Baccin,Correct,Secreted,GrowthFactor,22511630,,,,,,,,,,,,,,,,,
Ctgf-Itga2b&Itgb3,Ctgf,Itga2b&Itgb3,Baccin,Correct,ECM,GrowthFactor,16988024,,,,,,,,,,,,,,,,,
Ctgf-Itga5&Itgb1,Ctgf,Itga5&Itgb1,Baccin,Correct,ECM,GrowthFactor,20406330,,,,,,,,,,,,,,,,,
Ctgf-Itgam&Itgb2,Ctgf,Itgam&Itgb2,Baccin,Correct,ECM,GrowthFactor,12036876,,,,,,,,,,,,,,,,,
Ctgf-Itgav&Itgb3,Ctgf,Itgav&Itgb3,Baccin,Correct,ECM,GrowthFactor,16988024,,,,,,,,,,,,,,,,,
Ctgf-Lrp1,Ctgf,Lrp1,Ramilowski,Correct,Secreted,GrowthFactor,14585398,,,,,,,,,,,,,,,,,
Ctgf-Lrp6,Ctgf,Lrp6,Ramilowski,Correct,Secreted,GrowthFactor,15105373,,,,,,,,,,,,,,,,,
Cx3cl1-Cx3cr1,Cx3cl1,Cx3cr1,Ramilowski,Correct,Both,Chemokine,"11432858,14607932,9931005, 9390561",,,,,,,,,,,,,,,,,
Cx3cl1-Itga4&Itgb1,Cx3cl1,Itga4&Itgb1,Baccin,Correct,Membrane,Chemokine,23125415,,,,,,,,,,,,,,,,,
Cx3cl1-Itgav&Itgb3,Cx3cl1,Itgav&Itgb3,Baccin,Correct,Membrane,Chemokine,23125415,,,,,,,,,,,,,,,,,
Cxadr-Cxadr,Cxadr,Cxadr,Baccin,Correct,Membrane,Other,10814828,,,,,,,,,,,,,,,,,
Cxadr-Jaml,Cxadr,Jaml,Baccin,Correct,Membrane,Other,15800062,,,,,,,,,,,,,,,,,
Cxcl1-Cxcr2,Cxcl1,Cxcr2,Ramilowski,Correct,Secreted,Chemokine,"1379593, 10188995, 8940121,8702798,8550564, 8940121, 8702798, 1379593,8702798, 9260277",,,,,,,,,,,,,,,,,
Cxcl10-Cxcr3,Cxcl10,Cxcr3,Ramilowski,Correct,Secreted,Chemokine,"9064356, 12884299,9660793, 15761110,12571234, 10233762",,,,,,,,,,,,,,,,,
Cxcl10-Sdc4,Cxcl10,Sdc4,Ramilowski,Correct,Secreted,Chemokine,20484822,,,,,,,,,,,,,,,,,
